YYYY MM DD hh mm WS_mean_10_mean Rad_mean 
    Height 10 0 
    Units m/s W/m2 
2011 02 11 16 14 5.4842E+00 6.4000E-02 
2011 02 11 16 24 5.2480E+00 6.4000E-02 
2011 02 11 16 34 5.4055E+00 -4.8580E+00 
2011 02 11 16 44 4.8542E+00 -4.8580E+00 
2011 02 11 16 54 5.2480E+00 -4.8580E+00 
2011 02 11 17 04 5.4842E+00 -4.8580E+00 
2011 02 11 17 14 5.0117E+00 -4.8580E+00 
2011 02 11 17 24 4.7755E+00 -9.7800E+00 
2011 02 11 17 34 4.5392E+00 -9.7800E+00 
2011 02 11 17 44 4.8542E+00 -4.8580E+00 
2011 02 11 17 54 3.5942E+00 -4.8580E+00 
2011 02 11 18 04 2.7280E+00 -4.8580E+00 
2011 02 11 18 14 3.5155E+00 -4.8580E+00 
2011 02 11 18 24 3.1217E+00 -4.8580E+00 
2011 02 11 18 34 2.8067E+00 -4.8580E+00 
2011 02 11 18 44 3.1217E+00 -9.7800E+00 
2011 02 11 18 54 3.2005E+00 -4.8580E+00 
2011 02 11 19 04 3.2005E+00 -9.7800E+00 
2011 02 11 19 14 2.2555E+00 -4.8580E+00 
2011 02 11 19 24 2.7280E+00 -4.8580E+00 
2011 02 11 19 34 2.9642E+00 -4.8580E+00 
2011 02 11 19 44 2.6492E+00 -4.8580E+00 
2011 02 11 19 54 2.4917E+00 -9.7800E+00 
2011 02 11 20 04 2.8855E+00 -4.8580E+00 
2011 02 11 20 14 3.1217E+00 -4.8580E+00 
2011 02 11 20 24 2.5705E+00 -4.8580E+00 
2011 02 11 20 34 2.6492E+00 -4.8580E+00 
2011 02 11 20 44 3.2792E+00 -4.8580E+00 
2011 02 11 20 54 2.5705E+00 -4.8580E+00 
2011 02 11 21 04 2.8067E+00 -4.8580E+00 
2011 02 11 21 14 2.0980E+00 -4.8580E+00 
2011 02 11 21 24 1.9405E+00 -4.8580E+00 
2011 02 11 21 34 2.3342E+00 -4.8580E+00 
2011 02 11 21 44 3.0430E+00 -4.8580E+00 
2011 02 11 21 54 2.4917E+00 -4.8580E+00 
